management , saas , 48.3143932717 , 18
crm , saas , 45.6517769475 , 28
b2b , saas , 45.0882757948 , 22
vmware , saas , 44.1742872281 , 38
alphabeat , saas , 43.5883611051 , 18
africa , saas , 43.4318042989 , 33
harrogate , saas , 42.3091506437 , 129
greenwich , saas , 41.2420195178 , 116
hypnosis , saas , 39.549192914 , 19
alphabeat , b2b , 39.0607665898 , 75
ebay , saas , 39.0345081505 , 22
alphabeat , vmware , 38.268962214 , 19
saas , consulting , 38.2410928314 , 64
weddings , saas , 38.2402542464 , 272
vmware , africa , 38.1315111526 , 23
alphabeat , africa , 37.6257361895 , 23
harrogate , vmware , 37.1458629378 , 49
harrogate , alphabeat , 36.6531615764 , 36
harrogate , africa , 36.5215140042 , 45
greenwich , vmware , 36.2089614416 , 25
harrogate , finance , 36.0709745471 , 31
harrogate , greenwich , 34.6801386149 , 49
vmware , weddings , 33.5735230164 , 20
africa , weddings , 33.0092180943 , 23
finance , weddings , 32.6020072871 , 22
manufacturing , weddings , 32.4698828464 , 18
harrogate , weddings , 32.1559742573 , 100
greenwich , consulting , 31.3456162556 , 29
greenwich , weddings , 31.3449288808 , 113
hypnosis , weddings , 30.05833986 , 18
ebay , consulting , 29.667817617 , 18
ebay , weddings , 29.6671670344 , 23
weddings , consulting , 29.0641522684 , 73
consulting , forex , 28.4860000642 , 29
